plan,equipment,material,square,weight,diamino,laser3d,revision,samplesAreWitnesses,executor,Key_t2,quantityA4,name
11403.3506.135.001/002,494.14.654.0184.00.000,КМКС-2м.120.Т10.37,2,1,КМКС-2м.120.Т10.37_rsk,11403.3506.135.001/002_lap,0,Отдельно ,Петров И.И.,17,2,Обтекатель пилона
11403.3506.145.001/002,494.14.654.0184.00.000,КМКУ-2м.120.Р4510,32,6,КМКУ-2м.120.Р4510_rsk,11403.3506.145.001/002_sl,0,В оснастке,Сидоров А.В.,16,15,Закрылок
11403.3506.155.001/002,494.14.654.0184.00.000,КМКУ-2м.120.Р4510,2,1,КМКУ-2м.120.Р4510_rsk,11403.3506.155.001/002_lap,3,Отдельно ,Петров И.И.,16,5,Интерцептор секция
11403.3506.165.001/002,494.14.654.0184.00.000,КМКС-2м.120.Т10.37,32,6,КМКС-2м.120.Т10.37_rsk,11403.3506.165.001/002_lap,2,В оснастке,Петров И.И.,17,20,Навеска элерона
11403.3506.175.001/002,494.14.654.0184.00.000,КМКС-2м.120.Т10.37,11,1,КМКС-2м.120.Т10.37_rsk,11403.3506.185.001/002_lap,0,В оснастке,Петров И.И.,17,5,Закрылок
11403.3506.185.001/002,494.14.654.0184.00.000,КМКС-2м.120.Т10.37,22,5,КМКС-2м.120.Т10.37_rsk,11403.3506.195.001/002_sl,3,Отдельно ,Сидоров А.В.,17,15,Воздушные тормоза
11403.3506.195.001/002,494.14.654.0184.00.000,КМКС-2м.120.Т10.37,23,5,КМКС-2м.120.Т10.37_rsk,11403.3506.132.001/002_sl,2,В оснастке,Петров И.И.,16,8,Воздушный тормоз секция 1
11403.3506.132.001/002,494.14.654.0184.00.000,КМКУ-2м.120.Р4510,23,5,КМКУ-2м.120.Р4510_rsk,11403.3506.132.001/002_sl,1,Отдельно ,Сидоров А.В.,16,10,Воздушный тормоз секция 2
11403.3506.143.001/002,494.14.654.0184.00.000,КМКУ-2м.120.Р4510,32,6,КМКУ-2м.120.Р4510_rsk,11403.3506.143.001/002_sl,2,Отдельно ,Сидоров А.В.,16,20,Воздушный тормоз секция 3
11403.3506.165.001/002,494.14.654.0184.00.000,КМКС-2м.120.Т10.37,11,2,КМКС-2м.120.Т10.37_rsk,11403.3506.165.001/002_lap,2,В оснастке,Сидоров А.В.,17,10,Закрылок
11403.3506.167.001/002,494.14.654.0184.00.000,КМКС-2м.120.Т10.37,12,3,КМКС-2м.120.Т10.37_rsk,11403.3506.167.001/002_lap,1,Отдельно ,Сидоров А.В.,17,12,Закрылок
11403.3506.156.001/002,494.14.654.0184.00.000,КМКС-2м.120.Т10.37,23,4,КМКС-2м.120.Т10.37_rsk,11403.3506.156.001/002_lap,1,Отдельно ,Петров И.И.,16,20,Створки основной и передней опоры шасси
